0, value, target
977,630.97,632.863
978,631.149,633.043
979,631.346,633.24
980,631.539,633.434
981,631.753,633.648
982,631.936,633.832
983,632.125,634.021
984,632.358,634.255
985,632.594,634.491
986,632.83,634.728
987,633.068,634.968
988,633.317,635.217
989,633.565,635.466
990,633.676,635.577
991,633.786,635.687
992,633.88,635.781
993,633.901,635.802
994,633.922,635.823
995,633.943,635.844
996,633.963,635.865
997,633.984,635.886
998,634.001,635.903
999,634.033,635.935
1000,634.065,635.967
1001,634.098,636.001
1002,634.132,636.034
1003,634.182,636.084
1004,634.227,636.13
1005,634.273,636.176
1006,634.315,636.218
1007,634.336,636.239
1008,634.357,636.26
1009,634.394,636.298
1010,634.436,636.34
1011,634.489,636.392
1012,634.572,636.476
1013,634.655,636.559
1014,634.707,636.611
1015,634.759,636.663
1016,634.811,636.716
1017,634.863,636.767
1018,634.914,636.818
1019,634.965,636.87
1020,635.032,636.937
1021,635.099,637.004
1022,635.165,637.071
1023,635.232,637.138
1024,635.299,637.204
1025,635.365,637.271
1026,635.432,637.338
1027,635.499,637.405
1028,635.565,637.472
1029,635.616,637.523
1030,635.667,637.574
1031,635.717,637.624
1032,635.781,637.688
1033,635.816,637.724
1034,635.858,637.766
1035,635.919,637.827
1036,635.981,637.889
1037,636.042,637.95
1038,636.102,638.011
1039,636.147,638.055
1040,636.191,638.1
1041,636.219,638.128
1042,636.253,638.161
1043,636.318,638.227
1044,636.383,638.292
1045,636.448,638.357
1046,636.513,638.422
1047,636.577,638.486
1048,636.641,638.551
1049,636.705,638.615
1050,636.77,638.681
1051,636.836,638.747
1052,636.902,638.812
1053,636.967,638.878
1054,637.033,638.944
1055,637.077,638.988
1056,637.121,639.033
1057,637.166,639.077
1058,637.21,639.122
1059,637.223,639.135
1060,637.236,639.148
1061,637.25,639.161
1062,637.249,639.161
1063,637.313,639.225
1064,637.33,639.242
1065,637.327,639.239
1066,637.324,639.236
1067,637.321,639.233
1068,637.318,639.23
1069,637.315,639.227
1070,637.287,639.199
1071,637.304,639.216
1072,637.315,639.227
1073,637.315,639.227
1074,637.315,639.227
1075,637.315,639.227
1076,637.316,639.227
1077,637.318,639.23
1078,637.321,639.233
1079,637.323,639.235
1080,637.324,639.236
1081,637.325,639.237
1082,637.327,639.238
1083,637.328,639.24
1084,637.321,639.233
1085,637.343,639.255
1086,637.379,639.291
1087,637.414,639.326
1088,637.459,639.372
1089,637.516,639.429
1090,637.582,639.495
1091,637.659,639.572
1092,637.735,639.648
1093,637.759,639.673
1094,637.823,639.737
1095,637.877,639.79
1096,637.921,639.834
1097,637.965,639.879
1098,638.024,639.938
1099,638.089,640.004
1100,638.179,640.093
1101,638.224,640.139
1102,638.269,640.184
1103,638.294,640.209
1104,638.319,640.234
1105,638.343,640.258
1106,638.367,640.282
1107,638.39,640.306
1108,638.413,640.329
1109,638.436,640.352
1110,638.469,640.384
1111,638.502,640.418
1112,638.55,640.465
1113,638.575,640.491
1114,638.609,640.525
1115,638.635,640.551
1116,638.669,640.585
1117,638.703,640.619
1118,638.728,640.644
1119,638.791,640.708
1120,638.845,640.762
1121,638.889,640.806
1122,638.933,640.85
1123,638.976,640.893
1124,639.02,640.937
1125,639.074,640.991
1126,639.139,641.056
1127,639.203,641.121
1128,639.252,641.17
1129,639.296,641.214
1130,639.34,641.258
1131,639.383,641.302
1132,639.435,641.354
1133,639.479,641.398
1134,639.473,641.391
1135,639.466,641.385
1136,639.46,641.378
1137,639.454,641.372
1138,639.522,641.44
1139,639.599,641.517
1140,639.666,641.585
1141,639.733,641.652
1142,639.785,641.704
1143,639.835,641.755
1144,639.886,641.805
1145,639.936,641.856
1146,639.988,641.908
1147,640.041,641.961
1148,640.072,641.992
1149,640.084,642.004
1150,640.094,642.014
1151,640.103,642.023
1152,640.112,642.033
1153,640.122,642.042
1154,640.131,642.051
1155,640.14,642.061
1156,640.15,642.07
1157,640.117,642.038
1158,640.085,642.006
1159,640.053,641.973
1160,640.021,641.941
1161,640.029,641.949
1162,640.03,641.95
1163,640.038,641.958
1164,640.097,642.017
1165,640.115,642.035
1166,640.132,642.053
1167,640.15,642.07
1168,640.093,642.014
1169,640.028,641.948
1170,639.962,641.882
1171,639.897,641.816
1172,639.831,641.75
1173,639.789,641.709
1174,639.75,641.669
1175,639.71,641.629
1176,639.648,641.567
1177,639.586,641.505
1178,639.545,641.463
1179,639.542,641.461
1180,639.542,641.461
1181,639.542,641.46
1182,639.542,641.46
1183,639.502,641.42
1184,639.461,641.38
1185,639.421,641.339
1186,639.381,641.299
1187,639.382,641.3
1188,639.39,641.308
1189,639.372,641.29
1190,639.354,641.272
1191,639.303,641.221
1192,639.244,641.161
1193,639.185,641.102
1194,639.125,641.043
1195,639.107,641.024
1196,639.089,641.006
1197,639.071,640.988
1198,639.053,640.97
1199,639.052,640.969
1200,639.033,640.951
1201,639.032,640.949
1202,639.031,640.948
1203,639.037,640.954
1204,639.074,640.992
1205,639.114,641.031
1206,639.152,641.069
1207,639.19,641.108
1208,639.229,641.146
1209,639.229,641.146
1210,639.229,641.147
1211,639.229,641.147
1212,639.229,641.147
1213,639.269,641.187
1214,639.309,641.227
1215,639.35,641.268
1216,639.389,641.307
1217,639.42,641.338
1218,639.444,641.362
1219,639.495,641.413
1220,639.545,641.464
1221,639.587,641.506
1222,639.638,641.557
1223,639.698,641.617
1224,639.758,641.677
1225,639.842,641.761
1226,639.925,641.845
1227,640.009,641.929
1228,640.066,641.987
1229,640.106,642.027
1230,640.163,642.084
1231,640.203,642.124
1232,640.243,642.164
1233,640.277,642.198
1234,640.276,642.197
1235,640.274,642.195
1236,640.298,642.219
1237,640.322,642.243
1238,640.353,642.274
1239,640.351,642.272
1240,640.349,642.27
1241,640.347,642.268
1242,640.345,642.266
1243,640.343,642.264
1244,640.341,642.262
1245,640.339,642.26
1246,640.338,642.259
1247,640.345,642.266
1248,640.353,642.274
1249,640.36,642.281
1250,640.367,642.288
1251,640.375,642.296
1252,640.382,642.303
1253,640.413,642.334
1254,640.443,642.365
1255,640.456,642.377
1256,640.469,642.39
1257,640.481,642.403
1258,640.521,642.442
1259,640.56,642.481
1260,640.556,642.478
1261,640.553,642.474
1262,640.546,642.468
1263,640.54,642.461
1264,640.577,642.499
1265,640.615,642.537
1266,640.627,642.549
1267,640.638,642.56
1268,640.643,642.565
1269,640.681,642.603
1270,640.718,642.64
1271,640.756,642.678
1272,640.793,642.716
1273,640.831,642.753
1274,640.868,642.791
1275,640.906,642.829
1276,640.944,642.866
1277,640.981,642.904
1278,641.019,642.942
1279,641.057,642.98
1280,641.095,643.018
1281,641.133,643.056
1282,641.17,643.094
1283,641.176,643.099
1284,641.181,643.104
1285,641.168,643.092
1286,641.156,643.079
1287,641.143,643.066
1288,641.13,643.054
1289,641.103,643.026
1290,641.102,643.025
1291,641.108,643.031
1292,641.169,643.093
1293,641.23,643.154
1294,641.246,643.17
1295,641.235,643.158
1296,641.207,643.131
1297,641.18,643.104
1298,641.216,643.139
1299,641.269,643.192
1300,641.321,643.245
1301,641.374,643.299
1302,641.423,643.347
1303,641.477,643.402
1304,641.532,643.456
1305,641.587,643.511
1306,641.642,643.566
1307,641.697,643.622
1308,641.754,643.68
1309,641.823,643.748
1310,641.903,643.828
1311,641.982,643.908
1312,642.062,643.989
1313,642.142,644.069
1314,642.222,644.149
1315,642.314,644.241
1316,642.405,644.333
1317,642.497,644.425
1318,642.589,644.517
1319,642.696,644.624
1320,642.819,644.747
1321,642.935,644.864
1322,642.998,644.927
1323,643.063,644.992
1324,643.127,645.056
1325,643.219,645.149
1326,643.327,645.257
1327,643.434,645.365
1328,643.479,645.41
1329,643.506,645.437
1330,643.533,645.464
1331,643.52,645.45
1332,643.511,645.441
1333,643.534,645.464
1334,643.556,645.487
1335,643.579,645.51
1336,643.601,645.532
1337,643.625,645.556
1338,643.646,645.577
1339,643.656,645.587
1340,643.656,645.586
1341,643.655,645.586
1342,643.655,645.586
1343,643.654,645.585
1344,643.652,645.583
1345,643.649,645.58
1346,643.649,645.58
1347,643.648,645.579
1348,643.574,645.505
1349,643.501,645.431
1350,643.428,645.358
1351,643.354,645.284
1352,643.281,645.211
1353,643.207,645.137
1354,643.134,645.063
1355,643.06,644.99
1356,642.987,644.916
1357,642.913,644.842
1358,642.84,644.769
1359,642.767,644.695
1360,642.694,644.622
